mese;Regioni di residenza;Strutture;Valori
Novembre;EMILIA ROMAGNA;Alberghi 5 stelle e 5stelle lusso;420
Dicembre;EMILIA ROMAGNA;Alberghi 5 stelle e 5stelle lusso;323
Gennaio;TOSCANA;Alberghi 5 stelle e 5stelle lusso;291
Febbraio;TOSCANA;Alberghi 5 stelle e 5stelle lusso;335
Marzo;TOSCANA;Alberghi 5 stelle e 5stelle lusso;229
Aprile;TOSCANA;Alberghi 5 stelle e 5stelle lusso;245
Maggio;TOSCANA;Alberghi 5 stelle e 5stelle lusso;261
Giugno;TOSCANA;Alberghi 5 stelle e 5stelle lusso;319
Luglio;TOSCANA;Alberghi 5 stelle e 5stelle lusso;171
Agosto;TOSCANA;Alberghi 5 stelle e 5stelle lusso;77
Settembre;TOSCANA;Alberghi 5 stelle e 5stelle lusso;255
Ottobre;TOSCANA;Alberghi 5 stelle e 5stelle lusso;303
Novembre;TOSCANA;Alberghi 5 stelle e 5stelle lusso;493
Dicembre;TOSCANA;Alberghi 5 stelle e 5stelle lusso;317
Gennaio;UMBRIA;Alberghi 5 stelle e 5stelle lusso;52
Febbraio;UMBRIA;Alberghi 5 stelle e 5stelle lusso;49
Marzo;UMBRIA;Alberghi 5 stelle e 5stelle lusso;25
Aprile;UMBRIA;Alberghi 5 stelle e 5stelle lusso;43
Maggio;UMBRIA;Alberghi 5 stelle e 5stelle lusso;45
Giugno;UMBRIA;Alberghi 5 stelle e 5stelle lusso;27
Luglio;UMBRIA;Alberghi 5 stelle e 5stelle lusso;23
Agosto;UMBRIA;Alberghi 5 stelle e 5stelle lusso;8
Settembre;UMBRIA;Alberghi 5 stelle e 5stelle lusso;38
Ottobre;UMBRIA;Alberghi 5 stelle e 5stelle lusso;84
Novembre;UMBRIA;Alberghi 5 stelle e 5stelle lusso;122
Dicembre;UMBRIA;Alberghi 5 stelle e 5stelle lusso;60
Gennaio;MARCHE;Alberghi 5 stelle e 5stelle lusso;90
Febbraio;MARCHE;Alberghi 5 stelle e 5stelle lusso;79
Marzo;MARCHE;Alberghi 5 stelle e 5stelle lusso;52
Aprile;MARCHE;Alberghi 5 stelle e 5stelle lusso;62
Maggio;MARCHE;Alberghi 5 stelle e 5stelle lusso;57
Giugno;MARCHE;Alberghi 5 stelle e 5stelle lusso;64
